sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
122,1222462,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
123,1233177,1,1,-0.177,-1.403,-0.159,-1.403,-0.01105986975,0
124,1242340,1,1,-0.177,-1.403,-0.159,-1.403,-0.01105986975,0
125,1251588,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
126,1262159,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
127,1272398,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
128,1281627,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
129,1292374,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
130,1301628,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
131,1312355,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
132,1321594,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
133,1333721,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
134,1342669,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
135,1352126,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
136,1362365,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
137,1372618,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
138,1382869,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
139,1392401,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
140,1402391,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
141,1412122,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
142,1422321,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
143,1435297,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
144,1442914,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
145,1452922,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
146,1462512,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
147,1472829,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
148,1482819,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
149,1492361,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
150,1502603,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
151,1512067,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
152,1522361,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
153,1534288,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
154,1541625,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
155,1553001,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
156,1561600,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
157,1572358,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
158,1582538,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
159,1592107,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
160,1602361,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
161,1612586,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
162,1622206,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
163,1634218,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
164,1642161,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
165,1652221,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
166,1661757,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
167,1672092,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
168,1681616,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
169,1692362,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
170,1702417,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
171,1711648,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
172,1721597,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
173,1735152,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
