tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v
199525906,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199525953,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526000,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526062,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526093,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526140,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526187,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526234,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526281,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526328,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526375,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526406,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526453,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526515,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526562,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526593,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526640,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526687,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526734,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526781,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526828,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526875,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526906,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199526968,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527000,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527046,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527093,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527140,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527187,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527234,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527265,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527296,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527328,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527390,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527421,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527453,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527484,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527531,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527562,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527609,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527640,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527671,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527718,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527750,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527781,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527828,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527859,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527890,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527937,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199527968,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528000,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528031,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528078,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528125,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528156,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528187,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528234,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528265,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528296,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528328,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528359,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528406,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528437,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528468,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528500,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528546,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528578,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528609,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528656,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528687,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528718,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528750,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528781,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528828,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528875,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528906,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528953,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199528984,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
199529015,-82.3243,2953.1588,0.000000,0.000000,0.000000,0.000000
