tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,axis6_pos_abs_mm,axis7_pos_abs_mm,ain0_raw_v,ain1_raw_v
864703,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864703,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864703,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864703,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864703,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864718,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864718,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864718,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864718,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864718,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864734,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864734,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864734,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864734,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864734,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864734,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864734,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864750,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864750,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864750,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864750,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864750,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864750,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864765,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864765,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864765,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864765,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864765,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864765,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864781,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864781,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864781,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864781,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864781,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864781,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864796,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864796,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864796,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864796,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864796,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864796,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864812,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864812,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864812,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864812,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864812,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864812,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864828,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864828,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864828,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864828,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864828,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864828,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864843,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864843,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864843,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864843,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864843,-0.0275,-0.0006,0.0000,0.0000,-0.498000,-0.376000
864843,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864843,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864859,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864859,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864859,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864859,-0.0275,-0.0006,0.0000,0.0000,-0.498000,-0.376000
864859,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864875,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864875,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.377000
864875,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864875,-0.0275,-0.0006,0.0000,0.0000,-0.498000,-0.376000
864875,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864875,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864875,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
864890,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864890,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864890,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864890,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864890,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.375000
864890,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864906,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864906,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864906,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864906,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864906,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864906,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864921,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864921,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864921,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864921,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864921,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864921,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864937,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864937,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864937,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864937,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864937,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864937,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864953,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864953,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864953,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864953,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864953,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864953,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864968,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864968,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864968,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864968,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864968,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864968,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
864984,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865000,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865000,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865000,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865000,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865000,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865000,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865000,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865015,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865015,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865015,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865015,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865015,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865015,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865031,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865031,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865031,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865031,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865031,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865031,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865046,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865046,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865046,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865046,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865046,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865046,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865062,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865062,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865062,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
