tick_ms,session_id,guidewire_mode,axis1_phase,axis6_phase,cyl1_cmd,cyl2_cmd,cyl3_cmd,cyl4_cmd,compensation_enabled,force_sample_valid,calibration_zeroed,freeze_active,plc_hold_active,ads_return_fault,spacing_recovery_active,force_transition_active,manual_cylinder_override,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,calibrated_force_n,calibrated_torque_nm,logger_dropped,axis1_segment_active,axis1_grip_assumed,axis1_invalid_reason,axis1_segment_id,axis1_handle_raw,axis1_handle_filtered,axis1_raw_mapping_increment_axis_mm,axis1_nominal_forward_increment_mm,axis1_compensated_requested_forward_increment_mm,axis1_effective_forward_increment_mm,axis1_compensation_gain,axis1_p_term,axis1_i_term,axis1_integral_limited,axis1_refer_rel_mm,axis1_actual_rel_mm,axis1_actual_forward_delta_mm,axis1_segment_master_forward_mm,axis1_segment_actual_forward_mm,axis1_session_master_forward_mm,axis1_session_actual_forward_mm,axis1_tracking_error_mm,axis6_segment_active,axis6_grip_assumed,axis6_invalid_reason,axis6_segment_id,axis6_handle_raw,axis6_handle_filtered,axis6_raw_mapping_increment_axis_mm,axis6_nominal_forward_increment_mm,axis6_compensated_requested_forward_increment_mm,axis6_effective_forward_increment_mm,axis6_compensation_gain,axis6_p_term,axis6_i_term,axis6_integral_limited,axis6_refer_rel_mm,axis6_actual_rel_mm,axis6_actual_forward_delta_mm,axis6_segment_master_forward_mm,axis6_segment_actual_forward_mm,axis6_session_master_forward_mm,axis6_session_actual_forward_mm,axis6_tracking_error_mm
112343390,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.08418127,-0.08626902,-0.52193510,0.52193510,0.52193510,0.52193510,1.00000000,0.00000000,0.00000000,0,-82.89790150,-82.26571969,0.00000000,4.89793876,4.26629279,120.34001970,119.41975126,0.63164597,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112343484,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.08322264,-0.08500612,-0.44586963,0.44586963,0.44586963,0.44586963,1.00000000,0.00000000,0.00000000,0,-83.84507453,-83.26498261,0.00000000,5.84511179,5.26555571,121.28719272,120.41901418,0.57955608,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112343546,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.08266100,-0.08441984,-0.43970922,0.43970922,0.43970922,0.43970922,1.00000000,0.00000000,0.00000000,0,-84.28478375,-83.70994386,0.00000000,6.28482100,5.71051696,121.72690194,120.86397543,0.57430405,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112343656,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.08147956,-0.08323021,-0.43766435,0.43766435,0.43766435,0.43766435,1.00000000,0.00000000,0.00000000,0,-85.17700221,-84.62871362,0.00000000,7.17703947,6.62928671,122.61912040,121.78274518,0.54775275,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112343734,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.08105059,-0.08268531,-0.40867870,0.40867870,0.40867870,0.40867870,1.00000000,0.00000000,0.00000000,0,-85.58568091,-85.13105920,0.00000000,7.58571817,7.13163230,123.02779910,122.28509077,0.45408587,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112343828,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.07970496,-0.08148126,-0.44407672,0.44407672,0.44407672,0.44407672,1.00000000,0.00000000,0.00000000,0,-86.48871626,-85.90978016,0.00000000,8.48875352,7.91035326,123.93083445,123.06381173,0.57840026,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112343890,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.07924146,-0.08092131,-0.41996282,0.41996282,0.41996282,0.41996282,1.00000000,0.00000000,0.00000000,0,-86.90867908,-86.34931316,0.00000000,8.90871634,8.34988626,124.35079727,123.50334473,0.55883008,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112343968,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.07879596,-0.08038997,-0.39850346,0.39850346,0.39850346,0.39850346,1.00000000,0.00000000,0.00000000,0,-87.30718254,-86.83878604,0.00000000,9.30721979,8.83935914,124.74930073,123.99281761,0.46786066,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76717226,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112344078,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.07755991,-0.07926562,-0.42642668,0.42642668,0.42642668,0.42642668,1.00000000,0.00000000,0.00000000,0,-88.15045103,-87.61533570,0.00000000,10.15048829,9.61590880,125.59256922,124.76936727,0.53457949,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112344171,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,9,-0.07681064,-0.07825080,-0.36004048,0.36004048,0.36004048,0.36004048,1.00000000,0.00000000,0.00000000,0,-88.91156133,-88.44073959,0.00000000,10.91159859,10.44131269,126.35367952,125.59477116,0.47028590,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-285.76701717,-285.76701717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
