timestamp,ft_1_value,fn_1_value,fn_2_value,ft_2_value,mode_code,reverse_code,push_pull_code,rot_sign_code,axis1_pos_rel
2026-04-06 17:50:48.286,-227,569,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.322,-227,575,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.361,-229,575,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.400,-229,544,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.440,-229,544,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.482,-229,562,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.521,568,562,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.562,568,562,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.601,-227,547,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.644,-224,547,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.679,-224,555,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.718,-233,555,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.758,-233,576,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.797,-226,576,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.837,-226,571,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.879,-221,571,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.920,-221,574,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.959,-224,574,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:48.998,-224,570,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.035,-229,545,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.095,-222,545,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.135,-222,556,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.174,-221,556,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.212,-221,551,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.251,-229,572,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.295,-217,572,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.334,-217,544,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.374,-232,544,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.403,-232,543,0,0,0,0,0,0,-77.999892
2026-04-06 17:50:49.443,-227,543,0,0,0,0,0,0,-77.999892
